30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
 1.1856709703057149e-02   8.7633415074794326e-03   5.6760743739942998e-01  -7.6799788067158992e-01
 1.1856709703057149e-02   8.7633415074794326e-03   5.6760743739942998e-01  -7.6799788067158992e-01
 1.2559054682527892e-02   9.2811028595537939e-03   5.6761956109529821e-01  -7.6801428528224747e-01
 1.4090992245712501e-02   1.0412916740553559e-02   5.6764845140550513e-01  -7.6805338058410033e-01
 1.6181488415065851e-02   1.1959155435314860e-02   5.6769326705778000e-01  -7.6811402247348892e-01
 1.8467955034454309e-02   1.3650029799952442e-02   5.6774942401621753e-01  -7.6819000299039197e-01
 2.0553882407755051e-02   1.5192133080461922e-02   5.6780720116982686e-01  -7.6826817210448051e-01
 2.2079405806914251e-02   1.6319810240341490e-02   5.6785342874824551e-01  -7.6833071453286705e-01
 2.2777482183152578e-02   1.6835837352304032e-02   5.6787570549080524e-01  -7.6836085315082348e-01
 2.2777482183152578e-02   1.6835837352304032e-02   5.6787570549080524e-01  -7.6836085315082348e-01
 2.3697970074102803e-02   1.7516291908402731e-02   5.6790616060903487e-01  -7.6840205628942881e-01
 2.5705147052921058e-02   1.9000113377370592e-02   5.6797684574509999e-01  -7.6849768636275906e-01
 2.8439924248720522e-02   2.1021755220447937e-02   5.6808263488243360e-01  -7.6864080706228699e-01
 3.1424749607856954e-02   2.3228281472634182e-02   5.6821067247133428e-01  -7.6881402572147139e-01
 3.4142693242296678e-02   2.5237516493226551e-02   5.6833878127717463e-01  -7.6898733896108440e-01
 3.6127330742356634e-02   2.6704616563484860e-02   5.6843932611822878e-01  -7.6912336125860481e-01
 3.7034601949693192e-02   2.7375306057948991e-02   5.6848727104559027e-01  -7.6918822347599425e-01
 3.7034601949693192e-02   2.7375306057948991e-02   5.6848727104559027e-01  -7.6918822347599425e-01
 3.8230050524851830e-02   2.8259049443765481e-02   5.6855235328150888e-01  -7.6927626965094520e-01
 4.0833118220436178e-02   3.0183370727869831e-02   5.6870162729037332e-01  -7.6947821324203070e-01
 4.4371107569862608e-02   3.2798766981657713e-02   5.6892130188376788e-01  -7.6977539611091150e-01
 4.8220228869398675e-02   3.5644209151238705e-02   5.6918262253303542e-01  -7.7012891689108753e-01
 5.1712942605138285e-02   3.8226159092399042e-02   5.6944027413809450e-01  -7.7047747279427214e-01
 5.4255426291125231e-02   4.0105677075025777e-02   5.6964034984487910e-01  -7.7074813785535290e-01
